COWcode,year,e_total_fuel_income_pc,e_total_oil_income_pc,e_total_resources_income_pc,,e_pop,e_gdppc,e_wb_pop,e_mipopula,v2x_polyarchy,e_pt_coup
70,1789,,,,,645.627,1.352,,,0.026,
70,1790,,,,,647.112,1.357,,,0.026,
70,1791,,,,,647.464,1.371,,,0.026,
70,1792,,,,,649.721,1.389,,,0.026,
70,1793,,,,,650.911,1.401,,,0.026,
70,1794,,,,,654.68,1.409,,,0.026,
70,1795,,,,,654.622,1.413,,,0.026,
70,1796,,,,,655.345,1.403,,,0.026,
70,1797,,,,,654.773,1.392,,,0.026,
70,1798,,,,,657.793,1.378,,,0.026,
70,1799,,,,,658.654,1.363,,,0.026,
70,1800,,,,,662.16,1.348,,5100,0.026,
70,1801,,,,,663.717,1.336,,5174.35,0.026,
70,1802,,,,,662.653,1.316,,5248.7,0.026,
70,1803,,,,,665.123,1.304,,5323.05,0.026,
70,1804,,,,,669.238,1.282,,5397.4,0.026,
70,1805,,,,,671.656,1.26,,5471.75,0.026,
70,1806,,,,,675.055,1.237,,5546.1,0.026,
70,1807,,,,,677.081,1.211,,5620.45,0.026,
70,1808,,,,,678.424,1.182,,5694.8,0.026,
70,1809,,,,,681.308,1.152,,5769.15,0.026,
70,1810,,,,,682.706,1.128,,5843.5,0.029,
70,1811,,,,,683.999,1.106,,5917.85,0.029,
70,1812,,,,,683.164,1.107,,5992.2,0.036,
70,1813,,,,,683.712,1.101,,6066.55,0.051,
70,1814,,,,,685.856,1.088,,6140.9,0.051,
70,1815,,,,,689.349,1.079,,6215.25,0.051,
70,1816,,,,,690.739,1.083,,6289.6,0.038,
70,1817,,,,,694.026,1.074,,6363.95,0.038,
70,1818,,,,,697.043,1.073,,6438.3,0.038,
70,1819,,,,,701.51,1.068,,6512.65,0.038,
70,1820,,,,,703.97,1.059,,6587,0.046,
70,1821,,,,,708.553,1.057,,6566.5,0.09,
70,1822,,0,,,713.231,1.06,,6546,0.147,
70,1823,,0,,,714.587,1.059,,6525.5,0.174,
70,1824,,0,,,720.703,1.058,,6505,0.178,
70,1825,,0,,,728.179,1.062,,6484.5,0.178,
70,1826,,0,,,728.177,1.066,,6464,0.178,
70,1827,,0,,,734.91,1.066,,6443.5,0.178,
70,1828,,0,,,741.883,1.073,,6423,0.178,
70,1829,,0,,,743.063,1.077,,6402.5,0.178,
70,1830,,0,,,746.907,1.083,,6382,0.147,
70,1831,,0,,,750.299,1.085,,6448.2,0.147,
70,1832,,0,,,755.957,1.085,,6514.4,0.159,
70,1833,,0,,,760.382,1.083,,6580.6,0.178,
70,1834,,0,,,766.241,1.088,,6646.8,0.178,
70,1835,,0,,,772.089,1.092,,6713,0.178,
70,1836,,0,,,774.805,1.086,,6779.2,0.178,
70,1837,,0,,,780.33,1.079,,6845.4,0.159,
70,1838,,0,,,790.175,1.087,,6911.6,0.159,
70,1839,,0,,,794.834,1.078,,6977.8,0.159,
70,1840,,0,,,800.585,1.07,,7044,0.159,
70,1841,,0,,,802.968,1.071,,7105.8,0.152,
70,1842,,0,,,802.944,1.07,,7167.6,0.183,
